Country,Bank,Date,Activos y Contingentes Ponderados (AYCP),Capital Nivel 1 (C1),Capital Nivel 1 + 2 (C1+2),C1 / AYCP,C1+2 / AYCP,Patrimonio Neto/Activos y Contingentes Totales,Activos y Contingentes/Patrimonio (veces),Préstamos Vencidos/Patrimonio Neto,Préstamos Vigentes/Préstamos Totales,Previsiones/Préstamos Vencidos,Previsiones/Préstamos Vigentes,Cartera Vencida/Cartera Total - Morosidad,Cartera Vencida/Cartera Total Neta de Previsiones,Renovados/Cartera,Refinanciados/Cartera,Reestructurados/Cartera,RRR+Medidas transitorias/Cartera,Vencidos+RRR+Medidas transitorias/Cartera,Cuenta Corriente,A la Vista,Plazo Fijo,CDA,Títulos de Inversión,Intereses Devengados,Local,Extranjera,Utilidad antes de Impuesto/Activo (Anual),Utilidad antes de Impuesto/Patrimonio (Anual),Disponible + Inversiones Temporales/Depósitos,Disponible + Inversiones Temporales/Pasivo,Activo/Pasivo,Activo/Pasivo + Contingencias,Gastos Personales/Gastos Administrativos,Gastos Personales/Margen Operativo,Gastos Administrativos/Margen Operativo,Gastos Personales/Depósitos (Anual),Gastos Administrativos/Depósitos (Anual),RRR/Cartera
Paraguay,Banco Nacional de Fomento,3/31/2019,4765446.1,1435176,1718552,0.301162991,0.360627728,0.171547339,5.829294744,0.096282293,0.964460701,0.879266717,0.032399996,0.035539299,0.016686898,0.086015994,0.002599726,0.010314326,0.108496489,0.144035789,0.306086489,0.540812666,0.034631218,0.115408128,0,0.003061499,0.775205546,0.224794454,0.040899337,0.2446812,0.518046289,0.492306812,1.215625761,1.167388842,0.585413761,0.258539851,0.441636101,0.029405551,0.050230372,
Paraguay,Banco de la Nación Argentina,3/31/2019,380684.3,78979,70077,0.207465871,0.184081666,0.124021642,8.063108857,0.444010965,0.92627752,0.819185169,0.065198994,0.07372248,0.021213349,0.388257049,0.00064722,0,0.388904269,0.462626749,0.149201913,0.373723809,0.004321303,0.470873173,0,0.001879803,0.169775722,0.830224278,0.01894108,0.158099917,0.338371832,0.316295641,1.142256332,1.136831419,0.631597785,0.421381416,0.667167344,0.033027838,0.052292517,
Paraguay,Banco GNB Paraguay S.A.,3/31/2019,4979829.8,456418,852483,0.091653333,0.171187176,0.120845879,8.275002925,0.129231718,0.978160411,1.28900314,0.028779839,0.021839589,0.00765527,0.176087168,0.003223692,0.00991458,0.18922544,0.211065029,0.188857253,0.367097573,0.000485849,0.436181283,0,0.007378042,0.486958736,0.513041264,0.028187154,0.23445785,0.302405404,0.258321099,1.14491112,1.086017664,0.426260219,0.14576497,0.341962407,0.011033939,0.025885454,
Paraguay,Banco Do Brasil S.A.,3/31/2019,675462,93010,105291,0.137698346,0.155879975,0.105115263,9.5133663,0.132369774,0.977961762,1.232737604,0.027779578,0.022038238,0,0.024521154,0,0,0.024521154,0.046559392,0.049008926,0.130683484,0,0.814043275,0,0.006264316,0.070512566,0.929487434,0.001812087,0.016877217,0.457451645,0.373917627,1.120852349,1.089411584,0.403115887,0.363961266,0.90287006,0.011111746,0.027564643,
Paraguay,Citibank N.A.,3/31/2019,775339.5,161448,274936,0.208228782,0.354600791,0.153915546,6.497069507,0,1,--,0.007100607,0,0,0.149030979,0,0,0.149030979,0.149030979,0.710244221,0.200880632,0.072293775,0.012482725,0,0.004098646,0.631451885,0.368548115,0.097572906,0.692314402,0.76412038,0.598546061,1.195002613,1.114800605,0.301489332,0.074570528,0.24734052,0.013746391,0.045594952,
Paraguay,Banco Bilbao Vizcaya Argentaria Paraguay S.A.,3/31/2019,7270176.3,903797,1519262,0.124315692,0.208971824,0.091157745,10.9699949,0.319250861,0.955500333,1.010226686,0.047048389,0.044499667,0.018240289,0.122795194,0.005387774,0.0483298,0.176512768,0.221012436,0.228078786,0.421534161,0.019563982,0.324735064,0,0.006088006,0.543783295,0.456216705,0.013534307,0.147208098,0.399675623,0.357927652,1.104954405,1.055963123,0.442653246,0.195463868,0.441573329,0.012177488,0.027510218,
Paraguay,Sudameris Bank S.A.E.C.A.,3/31/2019,5842512.9,502308,878608,0.08597465,0.150381867,0.07300339,13.69799397,0.147758036,0.984809207,1.071511145,0.01652818,0.015190793,0.005675934,0.102956422,0.008181287,0.001579998,0.11440552,0.129596313,0.196973396,0.291659502,0.000375024,0.503024082,0,0.007967995,0.461078422,0.538921578,0.014278399,0.185747536,0.248376507,0.180343138,1.087096258,0.98295444,0.431902653,0.255229172,0.590941431,0.017053407,0.039484377,
Paraguay,Banco Itaú Paraguay S.A.,3/31/2019,12829432.7,1500000,2236319,0.116918654,0.174311605,0.104010831,9.614383311,0.116013124,0.976718641,0.999752628,0.023830404,0.023281359,0.009386167,0.194908931,0.001561832,0.003627839,0.200098601,0.22337996,0.368504203,0.436992459,0.008491609,0.181450449,0,0.00456128,0.570632244,0.429367756,0.038172712,0.348786463,0.474036331,0.390592537,1.134003859,0.982365346,0.362069918,0.150204792,0.414850238,0.016203108,0.044751323,
Paraguay,Banco Continental S.A.E.C.A.,3/31/2019,12236045.8,1926087,2814432,0.157410901,0.230011561,0.128634846,7.773943284,0.096257579,0.980236425,1.705544954,0.034387281,0.019763575,0.010396405,0.116520345,0.006704312,0.023419234,0.153332097,0.173095672,0.282456249,0.221463087,0.012589129,0.471242324,0,0.012249211,0.570590838,0.429409162,0.021885798,0.166083592,0.398306999,0.299464657,1.158489903,1.079068703,0.402282816,0.173665605,0.431700282,0.012470783,0.031000038,
Paraguay,Banco Regional S.A.E.C.A.,3/31/2019,10801201.6,1421095,1704076,0.131568232,0.157767262,0.092067692,10.8615735,0.110056702,0.985971414,1.55084432,0.022065704,0.014028586,0.00791126,0.099799965,0.000350927,0.057942271,0.158093164,0.17212175,0.213588789,0.29260335,0,0.482605879,0,0.011201983,0.423045673,0.576954327,0.010588876,0.110409029,0.307618063,0.220495437,1.109069233,1.031122309,0.526849151,0.272154451,0.516569971,0.017734674,0.033661768,
